timestamp,medianEnergy,RunPeriod
1.5423e+09,2.7067e-06,21/10/2018
1.5423e+09,3.1733e-06,21/10/2018
1.5423e+09,3.136e-06,21/10/2018
1.5423e+09,2.67e-06,21/10/2018
1.5423e+09,2.8095e-06,21/10/2018
1.5423e+09,2.7488e-06,21/10/2018
1.5423e+09,2.9295e-06,21/10/2018
1.5423e+09,2.8237e-06,21/10/2018
1.5424e+09,2.7873e-06,21/10/2018
1.5424e+09,3.0066e-06,21/10/2018
1.5424e+09,2.7924e-06,21/10/2018
1.5424e+09,3.1994e-06,21/10/2018
1.5424e+09,3.1034e-06,21/10/2018
1.5424e+09,2.806e-06,21/10/2018
1.5424e+09,2.7344e-06,21/10/2018
1.5424e+09,2.702e-06,21/10/2018
1.5424e+09,2.8489e-06,21/10/2018
1.5424e+09,3.0455e-06,21/10/2018
1.5424e+09,2.7808e-06,21/10/2018
1.5424e+09,3.2144e-06,21/10/2018
1.5424e+09,2.7936e-06,21/10/2018
1.5424e+09,2.8116e-06,21/10/2018
1.5424e+09,2.6356e-06,21/10/2018
1.5424e+09,3.0562e-06,21/10/2018
1.5424e+09,2.8003e-06,21/10/2018
1.5424e+09,2.9579e-06,21/10/2018
1.5424e+09,2.7573e-06,21/10/2018
1.5424e+09,3.1019e-06,21/10/2018
1.5424e+09,3.1998e-06,21/10/2018
1.5424e+09,2.9903e-06,21/10/2018
1.5424e+09,2.7443e-06,21/10/2018
1.5424e+09,2.8403e-06,21/10/2018
1.5424e+09,2.3771e-06,21/10/2018
1.5424e+09,2.5906e-06,21/10/2018
1.5424e+09,2.8531e-06,21/10/2018
1.5424e+09,3.0852e-06,21/10/2018
1.5424e+09,2.7972e-06,21/10/2018
1.5424e+09,3.3282e-06,21/10/2018
1.5424e+09,3.0717e-06,21/10/2018
1.5424e+09,2.7254e-06,21/10/2018
1.5424e+09,2.6174e-06,21/10/2018
1.5424e+09,3.0295e-06,21/10/2018
1.5424e+09,2.8603e-06,21/10/2018
1.5424e+09,2.6966e-06,21/10/2018
1.5424e+09,2.5854e-06,21/10/2018
1.5425e+09,2.7902e-06,21/10/2018
1.5425e+09,2.8097e-06,21/10/2018
1.5425e+09,2.8536e-06,21/10/2018
1.5425e+09,2.8949e-06,21/10/2018
1.5425e+09,2.5557e-06,21/10/2018
1.5425e+09,2.6157e-06,21/10/2018
1.5425e+09,2.4872e-06,21/10/2018
1.5425e+09,2.6643e-06,21/10/2018
1.5425e+09,2.8884e-06,21/10/2018
1.5425e+09,3.0361e-06,21/10/2018
1.5425e+09,2.684e-06,21/10/2018
1.5425e+09,2.9595e-06,21/10/2018
1.5425e+09,2.7788e-06,21/10/2018
1.5425e+09,2.7577e-06,21/10/2018
1.5425e+09,2.6514e-06,21/10/2018
1.5425e+09,3.0137e-06,21/10/2018
1.5425e+09,2.5796e-06,21/10/2018
1.5425e+09,2.8177e-06,21/10/2018
1.5425e+09,2.8266e-06,21/10/2018
1.5425e+09,2.7609e-06,21/10/2018
1.5425e+09,2.9095e-06,21/10/2018
1.5425e+09,2.629e-06,21/10/2018
1.5425e+09,2.8171e-06,21/10/2018
1.5425e+09,2.4889e-06,21/10/2018
1.5425e+09,3.0052e-06,21/10/2018
1.5425e+09,2.6889e-06,21/10/2018
1.5425e+09,2.9948e-06,21/10/2018
1.5425e+09,2.6998e-06,21/10/2018
1.5425e+09,2.9178e-06,21/10/2018
1.5425e+09,2.8572e-06,21/10/2018
1.5425e+09,2.7956e-06,21/10/2018
1.5426e+09,2.4838e-06,21/10/2018
1.5426e+09,2.7805e-06,21/10/2018
1.5426e+09,3.0031e-06,21/10/2018
1.5426e+09,2.4748e-06,21/10/2018
1.5426e+09,2.9755e-06,21/10/2018
1.5426e+09,2.9219e-06,21/10/2018
1.5426e+09,2.8059e-06,21/10/2018
1.5426e+09,2.8383e-06,21/10/2018
1.5426e+09,2.9223e-06,21/10/2018
1.5426e+09,2.7456e-06,21/10/2018
1.5426e+09,2.9871e-06,21/10/2018
1.5426e+09,2.9283e-06,21/10/2018
1.5426e+09,3.013e-06,21/10/2018
1.5426e+09,2.8296e-06,21/10/2018
1.5426e+09,3.2489e-06,21/10/2018
1.5426e+09,2.7803e-06,21/10/2018
1.5426e+09,2.5602e-06,21/10/2018
1.5426e+09,2.8799e-06,21/10/2018
1.5426e+09,2.7086e-06,21/10/2018
1.5426e+09,2.7007e-06,21/10/2018
1.5426e+09,2.524e-06,21/10/2018
1.5426e+09,2.6309e-06,21/10/2018
1.5426e+09,2.7833e-06,21/10/2018
1.5426e+09,2.6771e-06,21/10/2018
1.5426e+09,3.2338e-06,21/10/2018
1.5426e+09,2.5826e-06,21/10/2018
1.5426e+09,3.1241e-06,21/10/2018
1.5426e+09,3.0972e-06,21/10/2018
1.5426e+09,2.7625e-06,21/10/2018
1.5426e+09,2.9827e-06,21/10/2018
1.5426e+09,2.8859e-06,21/10/2018
