diffFlux,Energy,type
1.4919944e+19,6.2747645,Total flux
1.49050209e+19,6.2847705,Total flux
1.48973944e+19,6.2947765,Total flux
1.48979292e+19,6.3047825,Total flux
1.49074862e+19,6.3147885,Total flux
1.4926971e+19,6.3247945,Total flux
1.49575354e+19,6.3348005,Total flux
1.4999855e+19,6.3448065,Total flux
1.5054669e+19,6.3548125,Total flux
1.51199132e+19,6.3648185,Total flux
1.52051235e+19,6.3748245,Total flux
1.53045251e+19,6.3848306,Total flux
1.54298858e+19,6.3948366,Total flux
1.55841428e+19,6.4048426,Total flux
1.57661086e+19,6.4148486,Total flux
1.59702219e+19,6.4248546,Total flux
1.61996019e+19,6.4348606,Total flux
1.64774985e+19,6.4448666,Total flux
1.68149534e+19,6.4548726,Total flux
1.72261308e+19,6.4648786,Total flux
1.77210673e+19,6.4748846,Total flux
1.83172268e+19,6.4848906,Total flux
1.90553053e+19,6.4948966,Total flux
1.99660676e+19,6.5049026,Total flux
2.10228253e+19,6.5149086,Total flux
2.22824059e+19,6.5249146,Total flux
2.39619394e+19,6.5349206,Total flux
2.58720964e+19,6.5449266,Total flux
2.76902709e+19,6.5549326,Total flux
2.96398797e+19,6.5649386,Total flux
3.23963103e+19,6.5749446,Total flux
3.46899827e+19,6.5849506,Total flux
3.45190393e+19,6.5949566,Total flux
3.30738512e+19,6.6049626,Total flux
3.2617213e+19,6.6149686,Total flux
3.53447664e+19,6.6249746,Total flux
5.34940639e+19,6.6349807,Total flux
5.2767836e+19,6.6449867,Total flux
4.86323099e+19,6.6549927,Total flux
5.27422908e+19,6.6649987,Total flux
4.58646143e+19,6.6750047,Total flux
3.68570993e+19,6.6850107,Total flux
3.09822977e+19,6.6950167,Total flux
2.70165347e+19,6.7050227,Total flux
2.44082211e+19,6.7150287,Total flux
2.24331844e+19,6.7250347,Total flux
2.08182459e+19,6.7350407,Total flux
1.9441714e+19,6.7450467,Total flux
1.82543632e+19,6.7550527,Total flux
1.7238151e+19,6.7650587,Total flux
1.63627204e+19,6.7750647,Total flux
1.56092648e+19,6.7850707,Total flux
1.49548771e+19,6.7950767,Total flux
1.43878565e+19,6.8050827,Total flux
1.38912782e+19,6.8150887,Total flux
1.34537344e+19,6.8250947,Total flux
1.30675415e+19,6.8351007,Total flux
1.27228164e+19,6.8451067,Total flux
1.24141415e+19,6.8551127,Total flux
1.21369883e+19,6.8651187,Total flux
1.18809719e+19,6.8751247,Total flux
1.16484067e+19,6.8851308,Total flux
1.15627544e+19,6.8951368,Total flux
1.12593547e+19,6.9051428,Total flux
1.1063719e+19,6.9151488,Total flux
1.0900061e+19,6.9251548,Total flux
1.07443003e+19,6.9351608,Total flux
1.05957413e+19,6.9451668,Total flux
1.04556878e+19,6.9551728,Total flux
1.0320606e+19,6.9651788,Total flux
1.01902137e+19,6.9751848,Total flux
1.00656454e+19,6.9851908,Total flux
